I, [2017-05-28T15:10:14.114010 #6421]  INFO -- Kitchen: -----> Starting Kitchen (v1.16.0)
E, [2017-05-28T15:10:14.114823 #6421] ERROR -- Kitchen: ------Exception-------
E, [2017-05-28T15:10:14.114912 #6421] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-05-28T15:10:14.114951 #6421] ERROR -- Kitchen: Message: Kitchen YAML file /Users/pm/learningchef/.kitchen.yml does not exist.
E, [2017-05-28T15:10:14.114981 #6421] ERROR -- Kitchen: ----------------------
E, [2017-05-28T15:10:14.115009 #6421] ERROR -- Kitchen: ------Backtrace-------
E, [2017-05-28T15:10:14.115037 #6421] ERROR -- Kitchen: /Users/pm/.chefdk/gem/ruby/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-05-28T15:10:14.115066 #6421] ERROR -- Kitchen: /Users/pm/.chefdk/gem/ruby/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:152:in `data'
E, [2017-05-28T15:10:14.115095 #6421] ERROR -- Kitchen: /Users/pm/.chefdk/gem/ruby/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:131:in `suites'
E, [2017-05-28T15:10:14.115124 #6421] ERROR -- Kitchen: /Users/pm/.chefdk/gem/ruby/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-05-28T15:10:14.115153 #6421] ERROR -- Kitchen: /Users/pm/.chefdk/gem/ruby/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-05-28T15:10:14.115182 #6421] ERROR -- Kitchen: /Users/pm/.chefdk/gem/ruby/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-05-28T15:10:14.115210 #6421] ERROR -- Kitchen: /Users/pm/.chefdk/gem/ruby/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-05-28T15:10:14.115239 #6421] ERROR -- Kitchen: /Users/pm/.chefdk/gem/ruby/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-05-28T15:10:14.115267 #6421] ERROR -- Kitchen: /Users/pm/.chefdk/gem/ruby/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2017-05-28T15:10:14.115308 #6421] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-05-28T15:10:14.115338 #6421] ERROR -- Kitchen: /Users/pm/.chefdk/gem/ruby/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command/action.rb:34:in `call'
E, [2017-05-28T15:10:14.115367 #6421] ERROR -- Kitchen: /Users/pm/.chefdk/gem/ruby/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-05-28T15:10:14.115414 #6421] ERROR -- Kitchen: /Users/pm/.chefdk/gem/ruby/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2017-05-28T15:10:14.115455 #6421] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-05-28T15:10:14.115485 #6421] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-05-28T15:10:14.115514 #6421] ERROR -- Kitchen: /Users/pm/.chefdk/gem/ruby/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-05-28T15:10:14.115543 #6421] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-05-28T15:10:14.115572 #6421] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-05-28T15:10:14.115601 #6421] ERROR -- Kitchen: /Users/pm/.chefdk/gem/ruby/2.3.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-05-28T15:10:14.115637 #6421] ERROR -- Kitchen: /Users/pm/.chefdk/gem/ruby/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-05-28T15:10:14.115667 #6421] ERROR -- Kitchen: /Users/pm/.chefdk/gem/ruby/2.3.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `<top (required)>'
E, [2017-05-28T15:10:14.115718 #6421] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:21:in `load'
E, [2017-05-28T15:10:14.115746 #6421] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:21:in `<main>'
E, [2017-05-28T15:10:14.115774 #6421] ERROR -- Kitchen: ----End Backtrace-----
